City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,mariental,-24.6333,17.9667,12.2,27,0,3.07,NA,1689460290
117,chake chake,-5.2459,39.7666,23.85,81,12,5.22,TZ,1689460290
118,burang,30.25,81.1667,11.67,82,100,1.55,CN,1689460290
119,olonkinbyen,70.9221,-8.7187,4.29,97,100,7.78,SJ,1689460047
120,byron bay,-28.65,153.6167,14.28,72,0,2.33,AU,1689460067
121,kismayo,-0.3582,42.5454,24.87,80,68,7.33,SO,1689459861
122,ancud,-41.8697,-73.8203,6.74,79,22,2.67,CL,1689460083
123,i-n-salah,27.1935,2.4607,36.6,5,0,4.59,DZ,1689459940
124,enewetak,11.3474,162.3373,27.8,81,55,7.27,MH,1689460050
125,bengkulu,-3.8004,102.2655,24.19,88,95,1.38,ID,1689460097
126,biloela,-24.4167,150.5,19.55,49,1,4.37,AU,1689460291
127,daru,-9.0763,143.2092,25.81,74,94,5.74,PG,1689460292
128,saldanha,-33.0117,17.9442,13.03,89,100,5.06,ZA,1689460062
129,prieska,-29.6641,22.7474,11.65,51,12,2.02,ZA,1689460292
130,polyarnyy,69.1989,33.4478,13.57,95,97,0.66,RU,1689460060
131,severo-yeniseyskiy,60.3725,93.0408,9.97,94,100,3.44,RU,1689459892
132,iskateley,67.6803,53.1512,15.43,68,12,1.65,RU,1689460057
133,deder,9.3167,41.45,13.42,77,33,4.21,ET,1689460293
134,al kharijah,25.4514,30.5464,29.68,18,13,3.16,EG,1689460293
135,el rama,12.1596,-84.2195,25.26,95,100,2.49,NI,1689460293
136,happy valley-goose bay,53.3168,-60.3315,28.17,47,75,1.54,CA,1689460096
137,sao gabriel da cachoeira,-0.1303,-67.0892,24.86,96,93,1.0,BR,1689460081
138,klaksvik,62.2266,-6.589,12.51,92,100,12.75,FO,1689460094
139,kralendijk,12.15,-68.2667,28.99,74,75,9.77,BQ,1689459914
140,port lincoln,-34.7333,135.8667,10.38,65,56,1.7,AU,1689460092
141,zemio,5.0314,25.1361,20.6,99,82,2.54,CF,1689460294
142,margaret river,-33.95,115.0667,13.04,66,2,7.13,AU,1689460044
143,peniche,39.3558,-9.3811,19.05,72,1,8.56,PT,1689460092
144,santa terezinha,-29.9002,-50.0904,12.92,85,99,2.88,BR,1689459851
145,afaahiti,-17.75,-149.2833,27.93,70,22,4.89,PF,1689460092
146,hell-ville,-13.4,48.2667,23.81,68,1,2.69,MG,1689460295
147,kodiak,57.79,-152.4072,13.73,88,100,3.6,US,1689460045
148,boda,4.3189,17.4695,21.51,91,95,1.41,CF,1689460296
149,basavana bagevadi,16.5833,75.9667,23.07,80,100,6.91,IN,1689460296
150,nemuro,43.3236,145.575,13.06,99,100,4.73,JP,1689460297
